@fichero, bias_medio, bias_mediana, bias_desvTipica, dia_juliano
cali_0001,820.8761,821.0,2.9652,2458242.19566
cali_0002,820.7064,821.0,2.2239,2458242.19678
cali_0003,820.6559,821.0,2.2239,2458242.1979
cali_0004,820.6016,821.0,2.2239,2458242.19904
cali_0005,820.5944,821.0,2.2239,2458242.20016
cali_0006,820.5727,821.0,2.2239,2458242.20128
cali_0007,820.5508,821.0,2.2239,2458242.20241
cali_0008,820.5153,821.0,2.2239,2458242.20353
cali_0009,820.6579,821.0,2.2239,2458242.20466
cali_0010,820.6499,821.0,2.2239,2458242.20579
cali_0011,820.6115,821.0,2.2239,2458242.20691
cali_0012,820.5589,821.0,2.2239,2458242.20803
cali_0013,820.5152,821.0,2.2239,2458242.20917
cali_0014,820.4272,820.0,2.2239,2458242.21029
cali_0015,820.4947,820.0,2.2239,2458242.21141
cali_0016,820.4602,820.0,2.2239,2458242.21253
cali_0017,820.3196,820.0,2.2239,2458242.21366
cali_0018,820.3977,820.0,2.2239,2458242.21479
cali_0019,820.3965,820.0,2.2239,2458242.21591
