@IdSpot,posVenX,posVenY,posX,posY,Intensidad
1,1910,0,1921.402,10.3718,369466
2,705,7,716.3131,17.9375,370356
3,659,7,670.9017,18.2292,364575
4,1186,8,1197.2974,19.0517,377944
5,746,21,757.9082,32.1789,418976
6,1740,21,1751.2029,32.3831,385945
7,683,21,694.7157,32.7864,389710
8,631,22,642.4501,33.5065,365772
9,2009,62,2020.6616,73.6609,416840
10,1342,68,1353.9047,79.9447,359747
11,1909,87,1920.7943,98.0584,374328
12,946,94,957.0031,105.384,381034
13,1087,95,1098.0299,106.2445,354081
14,1234,96,1245.62,107.8481,363156
15,1386,99,1397.1258,110.4585,361152
16,860,109,871.6767,120.3499,397444
17,1672,122,1682.1228,132.8587,2360108
18,525,127,536.6091,138.6977,359612
19,720,140,730.9829,151.0246,364205
20,245,148,256.0948,159.5355,399797
21,1818,156,1829.7869,167.938,408377
23,1432,175,1443.3807,186.2541,403293
24,1204,186,1215.2681,197.6432,411765
25,1456,190,1467.4246,202.0706,373711
26,1935,191,1946.5576,202.7435,394573
28,798,231,809.5512,243.0073,365206
29,107,246,118.6531,257.6032,381060
30,1655,258,1666.4172,269.4138,376842
32,624,281,635.224,292.6249,364819
33,533,283,544.1713,294.2061,761463
35,1652,290,1662.9973,301.0921,402920
36,399,302,410.522,313.3222,381307
39,211,323,222.2809,334.9395,514540
40,1140,329,1151.2702,340.3029,410628
41,1592,387,1603.668,398.4504,363429
42,1298,416,1309.6358,427.0447,367062
43,1811,445,1822.8419,456.9298,364480
44,1894,448,1904.9892,459.9806,416242
45,1175,450,1186.2724,461.0159,422884
46,1281,451,1291.9796,462.0309,367121
47,1988,452,1999.218,463.7499,369271
48,1959,469,1970.75,480.167,465293
49,2028,472,2039.4732,483.1049,454234
50,1907,539,1918.8023,550.3232,364918
51,1856,556,1867.8204,567.0129,366097
52,1673,569,1684.3028,580.0398,405353
53,1366,601,1377.4627,612.0476,387746
54,667,621,678.921,632.6344,365007
55,351,628,362.4979,639.9111,368417
56,1459,641,1470.0762,652.855,485015
57,460,666,471.9216,677.2719,378879
58,1776,709,1787.6077,720.8082,372409
59,1489,723,1500.9589,734.7662,364503
60,1544,745,1555.3653,756.7259,367457
61,1834,753,1845.9046,764.0354,377967
62,1492,765,1502.9655,776.8754,380087
63,1731,771,1742.9109,782.0545,369152
65,712,787,723.9023,798.4645,489871
66,679,787,690.5277,799.026,369939
67,1181,806,1192.8553,817.0782,379359
68,818,807,829.7278,818.8047,439687
69,766,808,777.9167,819.5624,368864
71,1470,830,1481.8569,841.6007,373455
72,852,851,863.1119,862.952,366512
73,1161,895,1172.8615,906.7627,468197
74,1937,908,1948.1404,919.8254,373306
75,1508,921,1519.5953,932.4989,379358
76,471,928,482.5422,939.7294,438311
77,354,932,365.3392,943.3987,380133
78,1099,942,1110.7583,953.2692,373461
79,923,943,934.5422,954.4768,364399
81,1660,947,1671.3633,958.4125,376150
82,1788,950,1799.1309,961.4304,392326
83,1317,966,1328.2642,977.3274,372814
84,1861,975,1872.8957,986.8506,370291
85,1270,989,1281.5604,1001.0002,379040
86,1299,990,1310.2556,1001.0687,372566
87,1807,998,1818.1312,1008.9948,379270
88,419,1002,430.3354,1013.0764,370894
89,132,1012,143.4807,1024.0057,371033
90,1170,1014,1181.3253,1025.0227,404492
91,1382,1014,1393.8421,1025.802,394623
92,607,1021,618.3446,1032.2188,367644
93,1573,1041,1584.5741,1052.4489,364315
94,787,1042,798.1787,1053.1426,405433
95,718,1043,729.3969,1054.4634,376189
96,620,1045,631.5924,1056.733,383272
97,842,1066,853.7811,1077.2065,378370
98,559,1072,570.7245,1083.268,434529
99,133,1087,144.4776,1098.7421,434346
100,852,1091,863.1076,1102.3216,387711
101,1812,1095,1823.2085,1106.7596,378215
102,992,1114,1003.9538,1125.9905,376195
103,614,1121,624.015,1132.9192,374255
104,489,1125,500.8665,1136.3928,375931
105,446,1126,457.9598,1137.7188,402890
106,385,1128,396.975,1139.7757,490922
107,1090,1140,1101.5569,1151.046,385340
108,1601,1142,1612.9218,1153.2729,459581
109,1668,1143,1678.9833,1154.3569,378999
110,757,1144,768.559,1155.4466,424920
111,413,1153,424.6876,1164.895,375003
112,793,1169,804.2313,1180.9503,365728
113,680,1172,691.2804,1183.345,475068
114,565,1175,576.7967,1186.3706,391994
115,412,1180,423.8889,1191.2462,505291
116,1609,1194,1620.7596,1205.3912,456648
117,847,1195,858.6227,1206.4318,373794
118,1775,1197,1786.0137,1208.2455,366518
119,1898,1200,1909.5335,1211.3226,375242
120,599,1200,610.63,1212.0081,371108
121,365,1208,376.0961,1219.5831,375697
122,1038,1219,1049.4078,1230.5858,370232
123,1547,1220,1558.6383,1231.0736,367649
124,829,1222,840.6751,1233.5457,372601
125,668,1226,679.1665,1237.0842,604108
126,1201,1245,1212.4272,1256.5355,380648
127,1864,1252,1875.5572,1263.4619,396173
128,351,1263,362.3318,1274.5165,511037
129,1166,1272,1177.8009,1284.0189,390514
130,1512,1273,1523.5253,1284.654,550177
131,974,1274,985.6362,1285.8071,365768
132,842,1277,853.1593,1288.0036,371208
133,970,1302,981.4943,1313.6646,370677
134,1730,1303,1741.1055,1314.9619,395006
135,660,1308,671.6838,1319.9901,370837
136,508,1313,519.9301,1324.5774,371208
137,1055,1329,1066.1371,1340.5859,367448
138,1019,1330,1030.1086,1341.0114,373175
139,1797,1332,1808.4565,1343.9642,413330
140,826,1333,837.0743,1344.2241,383759
141,688,1336,699.1551,1347.4779,418289
142,152,1356,163.2959,1367.4195,383676
143,1269,1356,1280.2003,1367.5163,462579
144,1192,1356,1203.7018,1367.7448,367725
145,1846,1361,1857.1714,1372.9515,369754
146,1261,1385,1272.1639,1396.2239,371384
147,1083,1386,1094.318,1397.4542,369543
148,484,1400,495.4827,1411.3719,381995
149,395,1403,406.5005,1414.6528,379866
150,370,1404,381.3102,1415.6592,398610
151,240,1410,251.4485,1421.1266,377184
152,1345,1414,1356.402,1424.9924,476095
153,1485,1414,1496.3972,1425.331,395504
154,1512,1414,1523.562,1425.5476,370020
155,593,1425,604.8081,1436.959,378040
156,503,1429,514.8754,1440.0217,384477
157,1316,1443,1327.5095,1454.3316,377494
158,1619,1444,1630.9589,1455.5465,369282
159,888,1447,899.5905,1459.0196,381574
160,816,1449,827.1284,1460.5516,392295
161,554,1456,564.9525,1468.0023,385009
162,1176,1473,1187.6628,1484.8621,369244
163,812,1479,823.0731,1490.6014,372669
164,643,1484,654.6009,1495.2425,384993
165,523,1488,534.4698,1499.1966,397665
166,474,1489,485.3042,1500.8829,375841
167,1623,1504,1634.0588,1515.0154,377035
168,1001,1506,1012.038,1517.1545,371310
169,925,1507,936.6383,1518.4576,395695
170,974,1537,985.7631,1548.1841,374577
172,1290,1564,1301.6306,1575.3812,427981
173,1226,1564,1237.523,1575.8065,383428
174,1737,1566,1748.2955,1577.0775,373909
175,1927,1569,1938.3514,1580.3683,376257
176,544,1579,555.2572,1590.9287,388138
177,486,1582,497.4738,1593.168,383402
178,1557,1595,1568.5594,1606.4365,373053
179,1302,1595,1313.0881,1606.5095,382893
180,1619,1595,1630.4773,1606.8936,372897
182,645,1608,656.4565,1619.0728,375125
183,373,1618,384.3375,1629.4475,409926
184,296,1621,307.368,1632.9292,382076
185,1427,1626,1438.8713,1637.6797,414528
186,1345,1626,1356.0318,1637.882,415222
187,778,1635,789.1721,1646.9623,384510
188,1221,1659,1232.4889,1670.7846,375305
189,1026,1662,1037.4391,1673.5161,457506
190,1223,1692,1234.111,1703.0553,370938
191,1140,1693,1151.3162,1704.2024,433987
192,120,1695,131.2887,1706.9648,376284
193,486,1711,497.2681,1722.2103,384954
194,1524,1723,1535.6858,1734.5004,375655
195,1207,1725,1218.2685,1736.213,407537
196,1081,1727,1092.0791,1738.0136,379364
197,884,1731,895.8429,1742.1515,375810
198,600,1740,611.3336,1750.9002,377418
199,1160,1792,1170.9436,1803.9397,374417
200,1275,1825,1286.159,1836.5041,378402
